start,end,sequence,rank
aster,adder,aster after alter alder adder,0.2002102312543798
world,mould,world would wound mound mould,0.14716187806587247
sears,tears,sears dears years rears tears,0.06892081289418361
pearl,wears,pearl pears years gears wears,0.06730903994393836
light,night,light might eight fight night,0.054029432375613175
right,might,right light night sight might,0.04660126138752628
fight,bight,fight might light night bight,0.04583041345480028
mound,pound,mound found round bound pound,0.04365802382620883
might,tight,might eight bight night tight,0.041030133146461104
grime,prick,grime prime prize price prick,0.039908899789768755
trims,chime,trims prims prime crime chime,0.038121934127540294
prism,prime,prism prise price pride prime,0.036720392431674846
woken,roman,woken woven women woman roman,0.03528381219341277
pride,prims,pride prime prima primo prims,0.034898388227049756
prima,posse,prima prime prise poise posse,0.0333917309039944
which,wrist,which whish whist waist wrist,0.033006306937631395
droop,thump,droop troop tromp trump thump,0.03283111422564822
grand,bruin,grand brand braid brain bruin,0.03251576734407849
crumb,thump,crumb crump grump trump thump,0.03234057463209531
moult,bound,moult mould would wound bound,0.031955150665732304
sound,pound,sound bound wound found pound,0.029607568325157672
titre,lathe,titre title tithe lithe lathe,0.029572529782761037
purty,marry,purty party parry harry marry,0.026664330763840227
singe,winch,singe since mince wince winch,0.026313945339873863
bilge,since,bilge binge tinge singe since,0.026313945339873863
lurch,match,lurch larch parch march match,0.025157673440784865
theme,whore,theme these those whose whore,0.025087596355991587
pease,plant,pease peace place plane plant,0.024456902592852138
mouth,couch,mouth south youth couth couch,0.02421163279607569
major,liner,major manor minor miner liner,0.023966362999299228
youth,cough,youth south couth couch cough,0.023791170287316053
loose,douse,loose louse souse house douse,0.023160476524176597
depth,heats,depth death neath heath heats,0.022144358794674142
cinch,reach,cinch conch coach roach reach,0.021934127540294324
froth,south,froth broth booth sooth south,0.02168885774351787
spurs,snort,spurs spurt sport short snort,0.020812894183601965
match,batch,match hatch patch catch batch,0.020637701471618784
style,spill,style stile still swill spill,0.020497547302032237
blast,meant,blast beast least leant meant,0.02021723896285915
oases,gamer,oases gases games gamey gamer,0.019761737911702874
gates,vapes,gates gages games gapes vapes,0.019656622284512964
bales,dames,bales kales gales games dames,0.019586545199719693
vapes,gamey,vapes rapes gapes games gamey,0.019586545199719693
round,pound,round bound sound mound pound,0.01923615977575333
semen,never,semen seven sever lever never,0.018885774351786965
palsy,patty,palsy pansy panty party patty,0.018325157673440787
whorl,chose,whorl whore whose those chose,0.018325157673440784
power,lacer,power pawer pater later lacer,0.01818500350385424
cider,udder,cider eider ender under udder,0.018079887876664334
batty,party,batty catty natty patty party,0.01800981079187106
parry,nutty,parry party purty putty nutty,0.017799579537491242
topos,comes,topos topes hopes homes comes,0.017554309740714785
woods,moles,woods words wolds molds moles,0.01671338472319552
black,slick,black flack flick click slick,0.016433076384022423
north,worms,north forth worth worts worms,0.01601261387526279
shoat,snort,shoat shout spout sport snort,0.01590749824807288
conch,poach,conch couch cooch coach poach,0.014646110721793976
draws,terms,draws drams trams teams terms,0.014015416958654523
story,stale,story stogy stagy stage stale,0.013945339873861245
folds,woods,folds foods goods moods woods,0.01384022424667134
worry,woods,worry wormy wordy woody woods,0.013805185704274702
weave,heady,weave leave heave heavy heady,0.013419761737911706
woody,coops,woody woods hoods hoops coops,0.01317449194113525
coeds,woody,coeds colds wolds woods woody,0.013034337771548703
loner,rower,loner lover rover roger rower,0.01299929922915207
heart,hoard,heart heard beard board hoard,0.012894183601962159
abuse,agape,abuse abase abate agate agape,0.012648913805185708
roger,loped,roger roper doper loper loped,0.012368605466012617
tours,yourn,tours hours fours yours yourn,0.01233356692361598
crowd,brown,crowd crown crows brows brown,0.012263489838822705
fours,hours,fours pours sours tours hours,0.012123335669236162
event,amens,event evens ovens omens amens,0.011807988787666434
honor,copes,honor honer hoper hopes copes,0.011667834618079888
fever,levee,fever sever never lever levee,0.01117729502452698
tacts,gates,tacts facts faces fates gates,0.011107217939733707
storm,shoat,storm store shore short shoat,0.011107217939733707
belch,leach,belch bench beach reach leach,0.011072179397337071
teams,prats,teams trams crams prams prats,0.011037140854940435
soils,hours,soils souls soups sours hours,0.0110021023125438
hours,gouts,hours pours pouts louts gouts,0.010967063770147164
stage,share,stage stare sware snare share,0.010861948142957253
sober,poler,sober sower power poser poler,0.010756832515767346
slang,elans,slang slant plant plans elans,0.010721793973370709
lites,fines,lites lives limes lines fines,0.010686755430974072
crink,chins,crink chink china chino chins,0.010546601261387529
flown,crowd,flown blown clown crown crowd,0.010476524176594254
dread,trill,dread tread triad trial trill,0.0102312543798178
tweed,trial,tweed treed tread triad trial,0.01005606166783462
zones,poses,zones hones hopes popes poses,0.009810791871058166
begun,beret,begun began begat beget beret,0.009705676243868255
crush,brush,crush crash trash brash brush,0.009670637701471618
harry,berry,harry marry merry ferry berry,0.009530483531885073
whams,chaps,whams whats thats chats chaps,0.009495444989488438
yeast,coast,yeast beast blast boast coast,0.009285213735108619
clubs,glued,clubs clues clued blued glued,0.009285213735108619
flubs,slued,flubs clubs clues clued slued,0.009215136650315345
clues,flaps,clues clubs flubs flabs flaps,0.009215136650315345
holed,hones,holed holes hoses hopes hones,0.009145059565522074
truce,crick,truce truck track crack crick,0.009074982480728803
brack,trunk,brack track trick truck trunk,0.009039943938332167
plane,elite,plane plate slate elate elite,0.009039943938332165
coast,bleat,coast boast blast blest bleat,0.00900490539593553
holer,hopes,holer holey holes hones hopes,0.008934828311142257
turdy,marry,turdy tardy tarry harry marry,0.008864751226348984
vocab,fecal,vocab vocal local focal fecal,0.008829712683952346
krone,chose,krone crone clone close chose,0.00879467414155571
chino,tying,chino chink think thing tying,0.008759635599159075
frond,fresh,frond front frost frosh fresh,0.008724597056762439
coney,holes,coney money honey holey holes,0.008689558514365803
grown,crows,grown frown brown crown crows,0.008654519971969166
gleam,clear,gleam glean clean cleat clear,0.00861948142957253
gyved,giver,gyved gyves gives given giver,0.00861948142957253
cleat,bleat,cleat clean clear blear bleat,0.00861948142957253
asked,enter,asked asker aster ester enter,0.008549404344779257
skill,chili,skill shill chill child chili,0.008444288717589347
johns,print,johns joins joint point print,0.008374211632796075
spend,shell,spend spent spelt spell shell,0.008304134548002804
taken,eater,taken oaken oaten eaten eater,0.008234057463209531
copes,cases,copes coper caper capes cases,0.008234057463209531
caves,casas,caves eaves eases cases casas,0.008199018920812894
train,draws,train brain drain drawn draws,0.008199018920812894
sired,files,sired fired filed filet files,0.008093903293622987
bigot,began,bigot begot beget begat began,0.008093903293622985
react,leech,react reach teach leach leech,0.00805886475122635
began,buret,began begat beget beret buret,0.00805886475122635
stubs,stars,stubs stabs stays stats stars,0.007988787666433076
money,homed,money honey honed hosed homed,0.007918710581639805
laver,deter,laver later eater dater deter,0.007918710581639805
mafia,magna,mafia maria mania manna magna,0.007883672039243169
joint,prick,joint point print prink prick,0.007883672039243169
croon,frown,croon crown drown brown frown,0.007883672039243167
limes,tines,limes rimes dimes times tines,0.007848633496846532
whooo,whole,whooo whoso whose whore whole,0.00784863349684653
later,laxer,later laker lager laser laxer,0.00777855641205326
talks,lacks,talks tanks tacks backs lacks,0.0077785564120532585
brink,prize,brink prink prick price prize,0.00767344078486335
briny,wrong,briny bring wring wrung wrong,0.00767344078486335
scope,spent,scope scone scene scent spent,0.007638402242466713
latex,biter,latex later liter titer biter,0.007498248072880169
eater,laker,eater later lager laxer laker,0.007498248072880169
cater,later,cater tater rater pater later,0.007498248072880169
cooch,reach,cooch pooch poach peach reach,0.007463209530483532
ended,antis,ended anded anted antes antis,0.007393132445690259
verbs,herds,verbs herbs heres heros herds,0.0072880168185003496
bombs,comer,bombs combs comes comet comer,0.0071829011913104425
balky,calks,balky talky talks walks calks,0.007182901191310441
mirth,fifth,mirth birth firth filth fifth,0.007147862648913805
farce,torts,farce force forte torte torts,0.007077785564120533
comes,bombs,comes combs tombs wombs bombs,0.007042747021723897
probe,shove,probe prone phone shone shove,0.0070077084793272616
supes,doter,supes super duper doper doter,0.0068675543097407145
bloke,grace,bloke broke brake brace grace,0.006797477224947443
apses,asked,apses asses asset assed asked,0.006762438682550806
march,batch,march larch parch patch batch,0.006552207428170987
prams,tress,prams prays preys press tress,0.006482130343377716
wonks,waits,wonks wonts wants watts waits,0.006482130343377716
hoses,comes,hoses loses lodes codes comes,0.006482130343377715
order,aided,order older alder aider aided,0.006412053258584444
goals,roans,goals goads loads loans roans,0.006377014716187806
spiny,spare,spiny spicy spacy space spare,0.006377014716187806
wiles,wales,wiles biles bales kales wales,0.006377014716187806
champ,clash,champ clamp clasp class clash,0.006341976173791171
butch,lunch,butch dutch hutch hunch lunch,0.006306937631394534
raker,dated,raker waker water dater dated,0.006271899088997897
heave,leads,heave heavy heady heads leads,0.006201822004204626
haler,mater,haler hater tater water mater,0.0062018220042046246
wants,wakes,wants warts warps wares wakes,0.006131744919411352
lento,wants,lento cento canto cants wants,0.006131744919411352
fined,wires,fined fired sired wired wires,0.006131744919411352
bract,wrack,bract tract trace track wrack,0.006131744919411352
spent,skill,spent spelt spell spill skill,0.006131744919411352
trail,trait,trail grail grain train trait,0.006096706377014716
petal,modal,petal fetal metal medal modal,0.00606166783461808
moved,bower,moved mowed lowed lower bower,0.00606166783461808
tanks,calls,tanks tasks casks calks calls,0.0060266292922214445
botch,aitch,botch butch dutch ditch aitch,0.006026629292221444
aitch,hutch,aitch hitch ditch dutch hutch,0.006026629292221444
ceder,coxes,ceder cedes codes comes coxes,0.006026629292221444
nodal,petal,nodal modal medal metal petal,0.005921513665031535
wades,facts,wades fades fares farts facts,0.005921513665031535
paces,fasts,paces pacts tacts facts fasts,0.005921513665031535
wales,bales,wales walls falls balls bales,0.005886475122634899
sales,balls,sales wales bales balms balls,0.005851436580238263
stuck,shook,stuck snuck shuck shock shook,0.005851436580238263
spiff,scuff,spiff stiff staff stuff scuff,0.005851436580238262
staff,spiff,staff stuff stiff skiff spiff,0.005851436580238262
freed,creep,freed greed greek creek creep,0.005816398037841627
dutch,hitch,dutch butch hutch hatch hitch,0.0057813594954449895
coils,palls,coils ceils cells calls palls,0.005746320953048354
races,dates,races rakes rates hates dates,0.005746320953048353
crams,clash,crams craps claps class clash,0.005711282410651717
break,creek,break bream cream creak creek,0.005676243868255081
roomy,hooks,roomy rooms looms looks hooks,0.005676243868255081
dhows,shops,dhows shows chows chops shops,0.005606166783461808
cream,tread,cream creak break bread tread,0.005606166783461808
wears,bears,wears dears fears gears bears,0.005571128241065173
charm,whats,charm chars chaos chats whats,0.0055010511562719
natch,hatch,natch watch catch patch hatch,0.005466012613875264
corps,locks,corps coops cooks looks locks,0.005466012613875263
scoot,shock,scoot snoot shoot shook shock,0.005430974071478627
groan,brain,groan grown brown brawn brain,0.005395935529081991
drear,breed,drear dream dread bread breed,0.00539593552908199
largo,munge,largo large marge mange munge,0.005360896986685354
pedal,molas,pedal medal modal molal molas,0.005360896986685354
hosts,lotta,hosts costs costa cotta lotta,0.005325858444288718
calla,mauls,calla calls cauls hauls mauls,0.005325858444288718
shews,seems,shews stews steps stems seems,0.005290819901892082
smack,stork,smack shack shock stock stork,0.005290819901892082
chomp,crime,chomp champ chimp chime crime,0.0052908199018920805
words,perks,words works forks porks perks,0.005255781359495446
firms,piled,firms fires files filed piled,0.00522074281709881
wiled,fired,wiled wired aired mired fired,0.005220742817098809
wonts,dorks,wonts worts words works dorks,0.005185704274702173
guile,built,guile guilt guild build built,0.005150665732305537
tribe,bring,tribe bribe bride brine bring,0.005150665732305536
clown,grows,clown blown brown grown grows,0.005150665732305536
dryad,bream,dryad dread drear dream bream,0.005010511562718991
geeks,seeps,geeks seeks seems seeds seeps,0.005010511562718991
gooks,cools,gooks looks nooks cooks cools,0.005010511562718991
phony,scope,phony phone shone scone scope,0.004975473020322355
stain,trait,stain swain twain train trait,0.004975473020322354
triad,freer,triad tried fried freed freer,0.004870357393132446
looks,goony,looks nooks gooks goons goony,0.0048703573931324455
creed,greet,creed treed greed green greet,0.004835318850735811
trade,craze,trade trace grace graze craze,0.004800280308339173
goers,books,goers doers doors boors books,0.004800280308339173
rally,bails,rally dally bally balls bails,0.004800280308339172
derby,heads,derby herby herbs herds heads,0.004765241765942538
staid,train,staid stain swain twain train,0.004765241765942537
chime,crept,chime crime creme crepe crept,0.0047302032235459
award,scare,award aware sware spare scare,0.004625087596355992
level,sever,level levee lever fever sever,0.0046250875963559914
homes,molls,homes holes roles moles molls,0.004590049053959357
tried,tries,tried trued truer trues tries,0.004590049053959355
rawly,balds,rawly rally bally baldy balds,0.004555010511562719
flout,blood,flout flour floor flood blood,0.004555010511562719
yules,gulls,yules mules rules gules gulls,0.004555010511562719
knock,shock,knock knack snack shack shock,0.004555010511562719
rules,gulls,rules yules gules gulfs gulls,0.004555010511562719
wordy,cards,wordy words lords lards cards,0.004555010511562719
caner,wales,caner canes manes males wales,0.0045199719691660836
casts,porks,casts pasts parts ports porks,0.004379817799579538
levee,repel,levee level bevel revel repel,0.004344779257182902
betel,revel,betel bezel bevel level revel,0.004344779257182902
takes,pales,takes tames tales kales pales,0.004309740714786266
dines,males,dines sines mines miles males,0.004309740714786266
treat,tried,treat treap tread triad tried,0.004274702172389629
guide,elate,guide glide elide elite elate,0.004274702172389629
stand,stunt,stand stank stunk stung stunt,0.004274702172389629
sines,lites,sines sides sites mites lites,0.004239663629992992
shape,shaky,shape share shade shady shaky,0.004204625087596357
inner,enter,inner infer inker inter enter,0.004204625087596356
clink,shock,clink click chick chock shock,0.004099509460406448
hying,thing,hying eying vying tying thing,0.004029432375613175
thing,vying,thing tying hying eying vying,0.004029432375613175
sloth,plash,sloth slosh slash clash plash,0.004029432375613175
thong,vying,thong thing tying eying vying,0.004029432375613175
tough,cough,tough touch vouch couch cough,0.003994393833216539
snake,shave,snake shake shame share shave,0.003994393833216539
warns,needs,warns wards nards nerds needs,0.003959355290819902
pares,barns,pares parts pards bards barns,0.003924316748423267
costa,easts,costa costs casts masts easts,0.003924316748423267
lakes,races,lakes lanes laces maces races,0.00388927820602663
lochs,focus,lochs locos locks locus focus,0.00388927820602663
share,spank,share shark shack shank spank,0.00388927820602663
salty,polls,salty sally pally palls polls,0.0038892782060266293
girly,firth,girly girls girts girth firth,0.0038542396636299936
gilds,gills,gilds girds giros girls gills,0.0038542396636299936
girts,gilds,girts girls giros girds gilds,0.0038542396636299936
dives,gives,dives rives river giver gives,0.003819201121233357
proxy,probe,proxy prosy prose prove probe,0.003784162578836721
gibes,riven,gibes gives giver river riven,0.003784162578836721
quick,suite,quick quirk quire quite suite,0.0037491240364400844
lease,perch,lease pease peace peach perch,0.0037491240364400844
files,ailed,files filer filet filed ailed,0.0037140854940434487
cruds,price,cruds crude prude pride price,0.0037140854940434483
peace,parch,peace peach poach porch parch,0.0037140854940434483
dough,rough,dough tough bough cough rough,0.0036790469516468118
dried,plied,dried tried fried pried plied,0.0036790469516468118
bench,lease,bench beach leach leash lease,0.003644008409250175
duels,reels,duels fuels feels heels reels,0.0036089698668535395
loped,wowed,loped loved lowed vowed wowed,0.0036089698668535395
abled,wiled,abled ailed oiled filed wiled,0.0036089698668535395
filed,abled,filed tiled wiled ailed abled,0.0036089698668535395
rived,ailed,rived riled tiled filed ailed,0.0036089698668535395
sized,rides,sized sizer sizes sides rides,0.003608969866853539
truss,tried,truss trues truer trued tried,0.0035739313244569026
zebus,debit,zebus rebus rebut debut debit,0.0035739313244569026
dolor,homer,dolor donor honor honer homer,0.0035388927820602665
seeds,stews,seeds seers seems stems stews,0.0035388927820602665
spivs,speed,spivs spies spied spued speed,0.0035038542396636308
walls,halls,walls wells hells hills halls,0.00350385423966363
prose,crone,prose probe prone drone crone,0.0034688156972669942
suits,quips,suits suite quite quits quips,0.0034337771548703577
purse,barge,purse purge surge sarge barge,0.003398738612473722
flesh,wroth,flesh fresh frosh froth wroth,0.0033987386124737216
sited,sides,sited sized sizer sizes sides,0.0033987386124737216
alone,drone,alone clone crone prone drone,0.003363700070077086
tower,voter,tower toker toter noter voter,0.003363700070077085
goofs,mules,goofs golfs gulfs gules mules,0.003363700070077085
golfs,yules,golfs gulfs gulps gules yules,0.003363700070077085
sixth,salts,sixth sixty silty salty salts,0.0033286615276804494
needs,seeds,needs needy reedy seedy seeds,0.003328661527680449
prone,price,prone prune prude pride price,0.0032936229852838133
wound,mound,wound bound sound pound mound,0.0032936229852838124
trite,troth,trite write wrote wroth troth,0.0032585844428871767
sabre,table,sabre sable cable fable table,0.003258584442887176
cable,sable,cable table gable fable sable,0.003258584442887176
table,sable,table gable fable cable sable,0.003258584442887176
sweat,sleep,sweat swept slept sleet sleep,0.00322354590049054
jakes,bares,jakes makes sakes bakes bares,0.0032235459004905397
snide,elite,snide slide glide elide elite,0.0032235459004905397
laced,waned,laced faced faked waked waned,0.0032235459004905397
fends,rinds,fends funds finds hinds rinds,0.003188507358093903
basal,fatal,basal nasal naval natal fatal,0.0031534688156972675
faced,waked,faced faded laded waded waked,0.0031534688156972675
hairy,dully,hairy dairy daily dally dully,0.0031184302733006314
prude,pause,prude crude cruse cause pause,0.003118430273300631
snarf,aware,snarf swarf sward award aware,0.003083391730903995
polly,dally,polly dolly doily daily dally,0.003083391730903995
godly,daily,godly golly dolly doily daily,0.003083391730903995
movie,bogie,movie moxie doxie dogie bogie,0.0030833917309039944
agony,stone,agony agone alone atone stone,0.0030483531885073583
cross,grown,cross dross gross grows grown,0.0030483531885073583
aired,limen,aired aimed timed limed limen,0.0030133146461107227
rinds,kinds,rinds winds minds binds kinds,0.0030133146461107227
whirs,whits,whirs whims whams whats whits,0.0030133146461107222
taxed,faced,taxed taxer faxer facer faced,0.0029782761037140857
moves,cover,moves mover hover rover cover,0.0029782761037140857
tomes,voter,tomes tones totes votes voter,0.0029432375613174496
feeds,herds,feeds weeds needs nerds herds,0.0029432375613174496
quire,spits,quire quite suite spite spits,0.0029432375613174496
dryly,gaily,dryly drily doily daily gaily,0.0029432375613174496
hives,rover,hives dives rives river rover,0.0029432375613174496
quirt,build,quirt quilt guilt guild build,0.0029432375613174496
shove,alone,shove stove stone atone alone,0.0029081990189208135
puree,cause,puree purse parse pause cause,0.002908199018920813
boozy,bonks,boozy booty booky books bonks,0.002873160476524177
beaks,means,beaks beans jeans weans means,0.0028731604765241765
reeds,nests,reeds needs nerds nerts nests,0.0028731604765241765
situs,biles,situs sites kites bites biles,0.0028731604765241765
bided,liked,bided aided aimed limed liked,0.002838121934127541
sabra,table,sabra sabre sable fable table,0.002838121934127541
beech,beach,beech leech leach peach beach,0.002838121934127541
oring,brung,oring wring wrong wrung brung,0.002838121934127541
shots,shred,shots shoos shoes shoed shred,0.0028381219341275404
hurry,carry,hurry furry burry curry carry,0.0028030833917309047
peaty,means,peaty meaty mealy meany means,0.0028030833917309043
blats,flock,blats blots blocs block flock,0.0028030833917309043
masse,cruse,masse passe pause cause cruse,0.002733006306937631
helps,heeds,helps heaps heals heads heeds,0.0026979677645409955
grope,crone,grope grove drove drone crone,0.0026979677645409955
slams,heads,slams seams beams beads heads,0.0026278906797477233
agone,score,agone atone stone scone score,0.002627890679747723
